name,address,lon,lat,to_lon,to_lat,total_spots,risk_level,dispatch_qty,distance_km
西丽南东社区公园-停车场,南山区西丽南东社区公园,113.9412,22.5748,113.9445,22.5724,58,低风险,48,0.8
西丽南南社区公园-停车场,南山区西丽南南社区公园,113.9467,22.5748,113.9501,22.5724,54,中风险,45,0.9
桃源北西社区公园-停车场,南山区桃源北西社区公园,113.9412,22.5698,113.9445,22.5674,68,低风险,57,0.8
桃源北东社区公园-停车场,南山区桃源北东社区公园,113.9367,22.5648,113.9401,22.5624,62,中风险,52,0.9
桃源北南社区公园-停车场,南山区桃源北南社区公园,113.9412,22.5648,113.9445,22.5624,58,低风险,48,0.8
桃源南西社区公园-停车场,南山区桃源南西社区公园,113.9367,22.5598,113.9401,22.5574,54,中风险,45,0.9
桃源南东社区公园-停车场,南山区桃源南东社区公园,113.9312,22.5548,113.9345,22.5524,68,低风险,57,0.8
桃源南南社区公园-停车场,南山区桃源南南社区公园,113.9367,22.5548,113.9401,22.5524,62,中风险,52,0.9
留仙洞北西社区公园-停车场,南山区留仙洞北西社区公园,113.9267,22.5798,113.9301,22.5774,58,低风险,48,0.8
留仙洞北东社区公园-停车场,南山区留仙洞北东社区公园,113.9212,22.5748,113.9245,22.5724,54,中风险,45,0.9
留仙洞北南社区公园-停车场,南山区留仙洞北南社区公园,113.9267,22.5748,113.9301,22.5724,68,低风险,57,0.8
留仙洞南西社区公园-停车场,南山区留仙洞南西社区公园,113.9212,22.5698,113.9245,22.5674,62,中风险,52,0.9
留仙洞南东社区公园-停车场,南山区留仙洞南东社区公园,113.9167,22.5648,113.9201,22.5624,58,低风险,48,0.8
留仙洞南南社区公园-停车场,南山区留仙洞南南社区公园,113.9212,22.5648,113.9245,22.5624,54,中风险,45,0.9
同乐北西社区公园-停车场,南山区同乐北西社区公园,113.9167,22.5898,113.9201,22.5874,68,低风险,57,0.8
同乐北东社区公园-停车场,南山区同乐北东社区公园,113.9112,22.5848,113.9145,22.5824,62,中风险,52,0.9
同乐北南社区公园-停车场,南山区同乐北南社区公园,113.9167,22.5848,113.9201,22.5824,58,低风险,48,0.8
同乐南西社区公园-停车场,南山区同乐南西社区公园,113.9112,22.5798,113.9145,22.5774,54,中风险,45
